id,target
0,0.07131
1,0.08350
2,0.06058
3,0.07036
4,0.05661
5,0.06003
6,0.07097
8,0.05690
10,0.06755
11,0.05614
12,0.06059
14,0.05305
15,0.06665
18,0.05785
21,0.07578
23,0.09593
24,0.06834
25,0.07033
27,0.09522
29,0.06956
30,0.05277
31,0.07104
32,0.07196
33,0.07791
37,0.06746
38,0.07321
39,0.09083
40,0.06957
41,0.07699
42,0.08478
44,0.07253
45,0.06770
47,0.05278
49,0.07067
51,0.05143
52,0.08239
53,0.05916
54,0.06818
55,0.07283
56,0.07198
57,0.05825
59,0.07935
60,0.07512
62,0.05458
63,0.07145
67,0.06753
68,0.06855
69,0.08435
70,0.05537
71,0.10446
73,0.07544
75,0.07760
76,0.06426
81,0.05818
82,0.07040
83,0.05691
86,0.07277
87,0.06110
88,0.07079
91,0.09027
92,0.06498
94,0.06650
97,0.05483
100,0.06079
102,0.07395
103,0.07018
105,0.07078
106,0.05648
108,0.06910
113,0.06642
114,0.07357
115,0.08857
118,0.07109
122,0.06980
124,0.07100
126,0.06068
128,0.07400
129,0.08359
130,0.08497
131,0.09033
132,0.08561
133,0.06199
134,0.08316
135,0.05944
136,0.05924
139,0.06197
140,0.06819
141,0.05765
146,0.07022
148,0.07383
151,0.06311
152,0.06341
154,0.04707
157,0.06005
158,0.07344
159,0.06699
161,0.06505
164,0.08779
165,0.06280
167,0.06153
168,0.07324
169,0.09014
171,0.06560
172,0.06371
173,0.07438
174,0.06521
175,0.07397
176,0.08412
178,0.06521
179,0.05290
180,0.07741
181,0.06391
182,0.05415
183,0.06410
184,0.06303
185,0.07600
187,0.06799
188,0.07819
190,0.05649
191,0.06531
192,0.07433
195,0.05864
196,0.06393
198,0.06498
201,0.05583
202,0.05850
203,0.07550
204,0.05716
207,0.07942
213,0.08436
219,0.06153
220,0.07947
222,0.05708
226,0.07601
228,0.07997
230,0.09099
231,0.06688
232,0.06181
233,0.06985
234,0.06175
236,0.08168
237,0.06969
238,0.05518
240,0.05948
241,0.05528
242,0.06763
243,0.06198
245,0.08118
246,0.07987
247,0.05742
249,0.08100
250,0.08859
251,0.05338
252,0.07337
253,0.06506
254,0.08355
255,0.06930
256,0.07600
257,0.07357
258,0.08588
259,0.05065
260,0.06548
262,0.07660
267,0.08323
268,0.08762
270,0.06283
272,0.05676
273,0.06367
274,0.08477
275,0.07023
276,0.07513
277,0.06516
278,0.04907
279,0.08487
281,0.07639
282,0.06661
283,0.07252
287,0.09196
288,0.07714
289,0.06977
290,0.06798
291,0.06473
292,0.07760
293,0.06181
294,0.08112
295,0.06452
296,0.07622
297,0.06292
298,0.07247
299,0.09435
300,0.07661
303,0.06443
304,0.06876
308,0.06153
314,0.09539
315,0.08345
317,0.05741
318,0.11542
320,0.06838
322,0.05145
323,0.06686
327,0.07940
329,0.05975
331,0.07295
332,0.08272
333,0.06254
334,0.07741
335,0.06381
336,0.08791
337,0.06989
341,0.09110
343,0.10478
345,0.08196
347,0.05993
348,0.04896
349,0.05758
352,0.07150
353,0.06654
354,0.06760
355,0.05824
356,0.06457
357,0.07909
358,0.07934
359,0.08934
361,0.07578
362,0.07542
365,0.06247
366,0.06899
368,0.08015
369,0.06199
371,0.05990
373,0.07818
376,0.05882
377,0.05701
379,0.07236
381,0.06433
382,0.06614
383,0.07112
384,0.06601
385,0.06254
386,0.06499
387,0.06240
388,0.09028
390,0.07451
391,0.07370
392,0.08656
393,0.07495
394,0.07855
396,0.07651
400,0.05815
402,0.09451
403,0.06938
405,0.05882
407,0.05170
409,0.08943
411,0.06058
412,0.05145
414,0.07495
415,0.06117
416,0.07988
418,0.07188
419,0.06398
421,0.06124
422,0.09944
423,0.06857
424,0.08187
426,0.07366
427,0.07089
428,0.07454
436,0.06968
438,0.08268
442,0.05848
443,0.06849
445,0.08373
446,0.09071
447,0.07140
450,0.08400
452,0.05045
453,0.06849
455,0.08092
458,0.07824
459,0.06517
461,0.06547
463,0.05830
467,0.07484
470,0.07645
471,0.07608
472,0.06550
476,0.07581
477,0.06840
481,0.06347
482,0.06022
483,0.08438
485,0.05951
487,0.07745
488,0.04933
490,0.08578
492,0.06346
494,0.06281
497,0.07554
499,0.07771
500,0.07302
501,0.06927
503,0.07531
505,0.05957
506,0.06834
507,0.06590
509,0.07658
510,0.05231
511,0.05823
512,0.05515
514,0.07794
515,0.06191
516,0.07102
517,0.06858
519,0.09543
520,0.08049
521,0.05922
522,0.07311
523,0.08173
527,0.06423
530,0.08584
532,0.07470
534,0.06214
536,0.08211
539,0.05883
543,0.05873
547,0.06798
550,0.06250
551,0.08457
552,0.05659
553,0.07673
555,0.06913
556,0.07083
557,0.07100
558,0.06344
559,0.06441
560,0.06666
561,0.05371
565,0.08298
566,0.06897
567,0.06855
571,0.06067
572,0.05958
574,0.06339
575,0.05758
576,0.08204
577,0.07326
578,0.06397
579,0.06622
581,0.06250
587,0.08070
589,0.06697
590,0.08303
591,0.08714
592,0.07791
593,0.06285
594,0.05212
595,0.08000
596,0.06783
597,0.07728
598,0.05772
600,0.06222
602,0.08240
605,0.05322
606,0.07580
607,0.06573
612,0.06504
613,0.06840
614,0.07954
615,0.06725
616,0.06607
617,0.05789
618,0.07416
620,0.06395
621,0.07479
622,0.06395
623,0.07088
628,0.05066
631,0.06394
632,0.07862
633,0.07985
634,0.07115
635,0.05987
637,0.08551
638,0.06497
640,0.07517
643,0.09203
644,0.08923
645,0.07079
646,0.05950
649,0.06732
651,0.07432
653,0.07593
654,0.06594
655,0.08790
656,0.06158
658,0.07585
659,0.06561
661,0.06770
662,0.05974
663,0.09069
664,0.09384
665,0.06902
667,0.05357
668,0.08489
671,0.07657
673,0.06114
674,0.08126
675,0.05534
676,0.05282
677,0.07874
678,0.07205
679,0.06689
680,0.07502
681,0.06320
682,0.07930
683,0.06548
684,0.06899
686,0.04966
687,0.07748
688,0.09378
690,0.05920
691,0.08287
692,0.06360
693,0.06268
694,0.08208
695,0.06956
696,0.06891
698,0.06063
699,0.07583
702,0.08397
703,0.06092
705,0.06871
706,0.08653
707,0.06190
708,0.06539
709,0.09282
710,0.09923
713,0.06677
714,0.06418
715,0.07436
716,0.06304
717,0.08252
718,0.06143
719,0.07094
720,0.05481
721,0.07858
723,0.08114
724,0.08701
726,0.08278
728,0.06404
730,0.06289
732,0.07239
734,0.07818
735,0.06225
737,0.08680
738,0.05945
741,0.06041
742,0.07561
743,0.07889
746,0.08308
747,0.06313
749,0.06648
750,0.07844
752,0.05850
755,0.09825
757,0.06587
758,0.07408
759,0.05215
765,0.06556
766,0.06071
767,0.06577
768,0.06930
769,0.07756
770,0.08135
771,0.07519
772,0.05157
773,0.08246
775,0.07513
776,0.05821
778,0.06608
779,0.06811
780,0.07954
782,0.07882
783,0.07147
784,0.08515
785,0.05356
786,0.05979
788,0.07975
789,0.07270
792,0.08480
