id,target
0,0.02810
1,0.04223
2,0.04572
3,0.03080
4,0.02603
5,0.02957
6,0.04515
8,0.02888
10,0.05372
11,0.05550
12,0.03457
14,0.03011
15,0.06386
18,0.03692
21,0.05398
23,0.03477
24,0.04728
25,0.04317
27,0.03834
29,0.05204
30,0.03746
31,0.06357
32,0.05502
33,0.03349
37,0.03476
38,0.03166
39,0.05352
40,0.03640
41,0.03454
42,0.02985
44,0.02920
45,0.04776
47,0.05075
49,0.02360
51,0.04144
52,0.03700
53,0.04318
54,0.09760
55,0.03163
56,0.03548
57,0.09032
59,0.05790
60,0.03686
62,0.02740
63,0.09575
67,0.04443
68,0.02093
69,0.05657
70,0.03776
71,0.04351
73,0.05416
75,0.03746
76,0.02642
81,0.02976
82,0.03565
83,0.02620
86,0.02981
87,0.04418
88,0.03657
91,0.04350
92,0.04300
94,0.02410
97,0.03838
100,0.03418
102,0.04662
103,0.03595
105,0.04206
106,0.06183
108,0.03308
113,0.07281
114,0.03888
115,0.04194
118,0.04587
122,0.03065
124,0.05004
126,0.02900
128,0.04033
129,0.04377
130,0.06114
131,0.05047
132,0.05423
133,0.02525
134,0.05672
135,0.05579
136,0.03137
139,0.02646
140,0.03152
141,0.05789
146,0.02909
148,0.03070
151,0.02372
152,0.05201
154,0.04076
157,0.04300
158,0.02290
159,0.05728
161,0.03863
164,0.05085
165,0.06650
167,0.03221
168,0.04656
169,0.03573
171,0.03587
172,0.06211
173,0.03322
174,0.03159
175,0.04164
176,0.05633
178,0.03872
179,0.03274
180,0.02518
181,0.02761
182,0.05270
183,0.05288
184,0.06806
185,0.04650
187,0.03355
188,0.03993
190,0.03091
191,0.03701
192,0.06997
195,0.04469
196,0.04812
198,0.04881
201,0.03095
202,0.03233
203,0.03410
204,0.03008
207,0.03133
213,0.04476
219,0.03108
220,0.03778
222,0.04936
226,0.04131
228,0.07197
230,0.03500
231,0.02479
232,0.04377
233,0.04429
234,0.02852
236,0.03961
237,0.03695
238,0.05329
240,0.04055
241,0.02576
242,0.04650
243,0.05444
245,0.03776
246,0.06813
247,0.03415
249,0.07210
250,0.03139
251,0.02855
252,0.03323
253,0.03402
254,0.06032
255,0.06197
256,0.04462
257,0.02666
258,0.03714
259,0.06453
260,0.02907
262,0.02400
267,0.03433
268,0.03166
270,0.03262
272,0.04365
273,0.03213
274,0.03496
275,0.03214
276,0.03071
277,0.03797
278,0.06418
279,0.04470
281,0.05411
282,0.04148
283,0.04670
287,0.03819
288,0.04739
289,0.05995
290,0.02776
291,0.04377
292,0.08657
293,0.03805
294,0.02790
295,0.02442
